DIST_ID,nodata,olddataonly,newdataonly,data
DIST-ALERT_2022002T185144_L30_T10TFK_v1,13395600,0,0,0
DIST-ALERT_2022010T185141_L30_T10TFK_v1,12608016,14307,35092,738185
DIST-ALERT_2022018T185143_L30_T10TFK_v1,13387132,1249,412,6807
DIST-ALERT_2022009T180714_L30_T12TVP_v1,13394927,0,2,671
DIST-ALERT_2022012T183919_L30_T10TFK_v1,13049591,60094,13217,272698
DIST-ALERT_2022025T180709_L30_T12TVP_v1,13395594,0,0,6
DIST-ALERT_2022008T181326_L30_T12TVP_v1,13395585,0,0,15
DIST-ALERT_2022017T180715_L30_T12TVP_v1,13395341,1,0,258
DIST-ALERT_2022026T185136_L30_T10TFK_v1,12446504,9332,34069,905695
DIST-ALERT_2022017T172432_L30_T13QFC_v1,13036793,153,479,358175
DIST-ALERT_2022028T183914_L30_T10TFK_v1,12536661,16844,16472,825623
DIST-ALERT_2022001T180717_L30_T12TVP_v1,13395336,19,33,212
DIST-ALERT_2022001T172434_L30_T13QFC_v1,12967834,199,639,426928
DIST-ALERT_2022019T184528_L30_T10TFK_v1,8670606,118637,147719,4458638
DIST-ALERT_2022016T181324_L30_T12TVP_v1,13394902,0,0,698
DIST-ALERT_2022025T172436_L30_T13QFC_v1,13174158,316,208,220918
DIST-ALERT_2022020T183921_L30_T10TFK_v1,12560426,8337,15638,811199
DIST-ALERT_2022010T171823_L30_T13QFC_v1,10102733,63595,482583,2746689
DIST-ALERT_2022018T171824_L30_T13QFC_v1,4108095,110306,335475,8841724
DIST-ALERT_2022026T171817_L30_T13QFC_v1,1244036,102076,101111,11948377
DIST-ALERT_2022003T175455_L30_T13TCJ_v1,13297286,4274,3126,90914
DIST-ALERT_2022011T175452_L30_T13TCJ_v1,13378955,2059,403,14183
DIST-ALERT_2022020T174839_L30_T13TCJ_v1,13222518,102423,3790,66869
DIST-ALERT_2022012T174842_L30_T13TCJ_v1,13361422,6143,1466,26569
DIST-ALERT_2022019T175454_L30_T13TCJ_v1,13391125,17,128,4330
DIST-ALERT_2022027T175446_L30_T13TCJ_v1,13261419,44595,3404,86182
DIST-ALERT_2022028T174844_L30_T13TCJ_v1,13147181,14146,7802,226471
DIST-ALERT_2022012T170338_L30_T14RMS_v1,13395600,0,0,0
