DIST_ID,nodata,olddataonly,newdataonly,data
DIST-ALERT_2022002T185144_L30_T10TFK_v1,13395600,0,0,0
DIST-ALERT_2022001T172434_L30_T13QFC_v1,12968393,203,640,426364
DIST-ALERT_2022008T181326_L30_T12TVP_v1,13394232,98,122,1148
DIST-ALERT_2022012T183919_L30_T10TFK_v1,13114907,57819,15062,207812
DIST-ALERT_2022025T180709_L30_T12TVP_v1,13394610,67,22,901
DIST-ALERT_2022009T180714_L30_T12TVP_v1,13336865,205,237,58293
DIST-ALERT_2022016T181324_L30_T12TVP_v1,13384340,76,44,11140
DIST-ALERT_2022025T172436_L30_T13QFC_v1,13174397,314,234,220655
DIST-ALERT_2022001T180717_L30_T12TVP_v1,13392394,456,370,2380
DIST-ALERT_2022010T171823_L30_T13QFC_v1,10084826,63666,484703,2762405
DIST-ALERT_2022010T185141_L30_T10TFK_v1,12638934,14451,32641,709574
DIST-ALERT_2022018T185143_L30_T10TFK_v1,13387133,1252,415,6800
DIST-ALERT_2022017T180715_L30_T12TVP_v1,13382104,133,196,13167
DIST-ALERT_2022019T184528_L30_T10TFK_v1,8902467,133219,138418,4221496
DIST-ALERT_2022020T183921_L30_T10TFK_v1,12646271,12332,19779,717218
DIST-ALERT_2022026T171817_L30_T13QFC_v1,1188613,105713,102364,11998910
DIST-ALERT_2022017T172432_L30_T13QFC_v1,13036796,153,479,358172
DIST-ALERT_2022026T185136_L30_T10TFK_v1,12462999,9438,32964,890199
DIST-ALERT_2022028T183914_L30_T10TFK_v1,12469521,22452,21852,881775
DIST-ALERT_2022018T171824_L30_T13QFC_v1,4050815,110479,336382,8897924
DIST-ALERT_2022003T175455_L30_T13TCJ_v1,13144576,14277,10806,225941
DIST-ALERT_2022011T175452_L30_T13TCJ_v1,13258846,14982,2476,119296
DIST-ALERT_2022027T175446_L30_T13TCJ_v1,12833957,131726,12078,417839
DIST-ALERT_2022012T170338_L30_T14RMS_v1,13395600,0,0,0
DIST-ALERT_2022028T174844_L30_T13TCJ_v1,12908167,23934,15634,447865
DIST-ALERT_2022028T170332_L30_T14RMS_v1,12671005,60550,44172,619873
DIST-ALERT_2022003T170949_L30_T14RMS_v1,400681,5699,3427,12985793
DIST-ALERT_2022019T175454_L30_T13TCJ_v1,13393447,7,111,2035
DIST-ALERT_2022012T174842_L30_T13TCJ_v1,13337769,10075,3268,44488
DIST-ALERT_2022019T170946_L30_T14RMS_v1,7932107,86498,209495,5167500
DIST-ALERT_2022004T170428_L30_T14RPP_v1,13309152,29,57,86362
DIST-ALERT_2022020T174839_L30_T13TCJ_v1,13005700,216734,11690,161476
DIST-ALERT_2022005T165815_L30_T14RPP_v1,4482002,28704,13407,8871487
DIST-ALERT_2022002T171427_L30_T14SNC_v1,12894411,1115,3754,496320
DIST-ALERT_2022013T165814_L30_T14RPP_v1,4669572,28374,17500,8680154
DIST-ALERT_2022010T170937_L30_T14UQB_v1,13391516,177,99,3808
DIST-ALERT_2022009T171549_L30_T14UQB_v1,13395347,4,4,245
DIST-ALERT_2022029T165817_L30_T14RPP_v1,10649770,10848,7033,2727949
DIST-ALERT_2022024T172155_L30_T14UQB_v1,13395316,24,14,246
DIST-ALERT_2022028T170156_L30_T14SNC_v1,12205634,1917,3502,1184547
DIST-ALERT_2022017T171547_L30_T14UQB_v1,13390658,105,44,4793
DIST-ALERT_2022025T171550_L30_T14UQB_v1,13394720,74,72,734
DIST-ALERT_2022007T155317_L30_T17SQA_v1,10846634,56721,43527,2448718
DIST-ALERT_2022015T155314_L30_T17SQA_v1,13391583,716,112,3189
DIST-ALERT_2022023T155317_L30_T17SQA_v1,10196403,27597,53499,3118101
DIST-ALERT_2022002T141548_L30_T19HGB_v1,629733,10004,728,12755135
DIST-ALERT_2022008T154705_L30_T17SQA_v1,1451703,36754,25414,11881729
DIST-ALERT_2022003T140936_L30_T19HGB_v1,9127659,14087,11968,4241886
DIST-ALERT_2022024T154700_L30_T17SQA_v1,4500580,341164,35144,8518712
DIST-ALERT_2022011T140935_L30_T19HGB_v1,13317119,4781,603,73097
DIST-ALERT_2022006T143918_L30_T19JBG_v1,10784264,453,1115,2609768
DIST-ALERT_2022027T140937_L30_T19HGB_v1,9640310,7723,4982,3742585
DIST-ALERT_2022007T143308_L30_T19JBG_v1,13221006,0,48,174546
DIST-ALERT_2022023T143308_L30_T19JBG_v1,13186937,0,73,208590
DIST-ALERT_2022015T143305_L30_T19JBG_v1,13268299,8396,1,118904
DIST-ALERT_2022005T135738_L30_T20HPE_v1,7256217,152,1186,6138045
DIST-ALERT_2022022T143914_L30_T19JBG_v1,6668608,2379,7121,6717492
DIST-ALERT_2022014T143917_L30_T19JBG_v1,9281029,22240,22852,4069479
DIST-ALERT_2022013T135737_L30_T20HPE_v1,7993029,3196,2766,5396609
DIST-ALERT_2022014T135126_L30_T20HPE_v1,222602,30738,10156,13132104
DIST-ALERT_2022006T135128_L30_T20HPE_v1,199468,816,845,13194471
DIST-ALERT_2022029T135740_L30_T20HPE_v1,10906770,12322,6967,2469541
DIST-ALERT_2022008T142208_L30_T20LKK_v1,12949948,11689,11291,422672
DIST-ALERT_2022015T142818_L30_T20LKK_v1,10554218,49731,27602,2764049
DIST-ALERT_2022023T142821_L30_T20LKK_v1,13395600,0,0,0
DIST-ALERT_2022007T142821_L30_T20LKK_v1,6580111,4518,27779,6783192
DIST-ALERT_2022024T142204_L30_T20LKK_v1,11187002,22525,21822,2164251
DIST-ALERT_2022030T135121_L30_T20HPE_v1,12274514,7994,15529,1097563
DIST-ALERT_2022009T132919_L30_T22KCV_v1,12274971,28822,15516,1076291
DIST-ALERT_2022002T132308_L30_T22KCV_v1,12883193,30871,13628,467908
DIST-ALERT_2022010T132308_L30_T22KCV_v1,13134099,2569,2157,256775
DIST-ALERT_2022016T142209_L30_T20LKK_v1,6127976,7586,17796,7242242
DIST-ALERT_2022001T132921_L30_T22KCV_v1,3939229,16554,19918,9419899
DIST-ALERT_2022017T132919_L30_T22KCV_v1,10301187,34726,21768,3037919
DIST-ALERT_2022008T105736_L30_T29PMM_v1,12480440,23786,172695,718679
DIST-ALERT_2022026T132310_L30_T22KCV_v1,10858600,4820,1038,2531142
DIST-ALERT_2022001T105149_L30_T29PMM_v1,10339023,308,0,3056269
DIST-ALERT_2022016T132929_L30_T22MGD_v1,11458412,15485,10118,1911585
