ID,Stratum,Long,Lat,VEG-DIST-STATUS,VEG-ANOM-MAX,VEG-IND-MAX,VEG-DIST-CONF,VEG-DIST-DATE,VEG-DIST-DUR,VEG-DIST-COUNT,GEN-DIST-STATUS,GEN-ANOM-MAX,GEN-DIST-CONF,GEN-DIST-DATE,GEN-DIST-DUR,GEN-DIST-COUNT
1,4,-52.3797917102057,-23.2971467994267,8,52,28,5488,20211021,69,14,0,0,0,NA,0,0
2,3,129.850327595496,-29.5772398794719,0,0,36,0,NA,0,0,0,0,0,NA,0,0
3,6,-98.6005586859852,33.7710037768831,7,35,17,6588,20220103,105,18,0,0,0,NA,0,0
4,5,19.3328943581821,4.57490276191496,0,0,95,0,NA,0,0,0,0,0,NA,0,0
5,6,115.619006364017,63.1080885488063,7,48,25,13300,20220512,51,19,7,49,6472,20220529,34,15
6,5,15.1935536079652,12.4217967377052,0,0,15,0,NA,0,0,0,0,0,NA,0,0
7,3,-78.197456907312,36.4513560887609,0,0,99,0,NA,0,0,0,0,0,NA,0,0
8,2,133.364597333927,-25.4713425572328,0,0,27,0,NA,0,0,0,0,0,NA,0,0
9,3,114.806719288158,44.0313007154011,0,0,44,0,NA,0,0,0,0,0,NA,0,0
10,1,58.3342892132568,43.3070503021754,0,0,10,0,NA,0,0,0,0,0,NA,0,0
11,5,33.6826632486904,58.5296417050283,0,0,99,0,NA,0,0,0,0,0,NA,0,0
12,4,128.34991259126,-19.7120664930397,0,0,31,0,NA,0,0,0,27,0,NA,17,6
13,6,48.7769761766772,31.7549016766466,7,38,8,1800,20211213,22,8,7,19,389,20211031,9,5
14,2,132.987273766129,-15.6978615561924,0,0,82,0,NA,0,0,0,0,0,NA,0,0
15,6,-65.7245807300227,-13.7647063534844,0,0,80,0,NA,0,0,0,0,0,NA,0,0
16,1,-95.9907004647714,51.3038417006845,0,0,87,0,NA,0,0,0,0,0,NA,0,0
17,2,-66.0409122831665,-34.5025355050592,0,0,63,0,NA,0,0,0,0,0,NA,0,0
18,6,-111.12708312371,43.5689905609097,8,51,19,22802,20220520,88,27,0,22,0,NA,28,5
19,4,139.724212725296,-35.5128534766098,0,0,99,0,NA,0,0,0,0,0,NA,0,0
20,4,-61.6777340397434,-36.3753774230692,7,34,32,3905,20220214,37,13,0,0,0,NA,0,0
21,3,62.1608000202387,36.2445543231012,0,0,26,0,NA,0,0,0,0,0,NA,0,0
22,3,36.6117802650962,35.5289140457061,7,30,14,1647,20211221,61,9,0,0,0,NA,0,0
23,4,-0.642859819081423,13.2829356384716,0,0,94,0,NA,0,0,0,0,0,NA,0,0
24,2,148.869173893422,-34.973816379812,0,0,99,0,NA,0,0,0,0,0,NA,0,0
25,5,159.302548716596,62.6973714880716,0,0,89,0,NA,0,0,0,0,0,NA,0,0
26,1,-112.965912749088,56.5399973995596,0,0,99,0,NA,0,0,0,0,0,NA,0,0
27,2,135.505149339747,-12.4791297237767,0,0,93,0,NA,0,0,0,0,0,NA,0,0
28,6,-97.6761505590117,25.8938037778088,0,0,98,0,NA,0,0,0,0,0,NA,0,0
29,5,-140.648244948864,64.6333690488544,0,0,99,0,NA,0,0,0,0,0,NA,0,0
30,1,2.98891596710703,34.900568064581,0,0,10,0,NA,0,0,0,0,0,NA,0,0
31,3,34.3020513739775,5.56617955852425,0,0,95,0,NA,0,0,0,0,0,NA,0,0
32,4,-71.5123599040014,-30.5696629019209,0,0,88,0,NA,0,0,0,0,0,NA,0,0
33,3,-99.0902233972174,28.2165763748512,0,0,71,0,NA,0,0,0,0,0,NA,0,0
34,4,-103.524865001448,20.0476910292757,7,19,2,2184,20211006,81,13,0,0,0,NA,0,0
35,1,128.68844339806,64.0446827219459,0,0,99,0,NA,0,0,0,0,0,NA,0,0
36,5,87.6765297354393,74.6324284415128,0,0,89,0,NA,0,0,8,158,345,20220917,4,3
37,4,-106.38291797858,43.3903233442097,0,0,55,0,NA,0,0,0,0,0,NA,0,0
38,3,-9.03699775126213,10.2849141145346,0,0,99,0,NA,0,0,0,0,0,NA,0,0
39,6,-153.764895898558,65.0860792405974,8,77,0,14841,20220630,51,17,3,49,15370,20220630,89,22
40,6,-121.1776510517,40.3915360857499,10,69,6,32000,20211001,296,26,7,67,4010,20220620,241,11
41,6,131.175143515009,42.9329611398477,0,0,99,0,NA,0,0,0,0,0,NA,0,0
42,4,-5.07498988430811,15.2314339894489,0,0,75,0,NA,0,0,0,0,0,NA,0,0
43,1,156.557251721356,64.5285811690981,0,0,90,0,NA,0,0,0,0,0,NA,0,0
44,5,-164.013810460421,67.8236449501216,0,0,90,0,NA,0,0,0,0,0,NA,0,0
45,6,112.507863628014,63.1395302235172,0,0,99,0,NA,0,0,0,34,0,NA,16,5
46,6,16.8368443043013,-12.9661409903377,9,45,40,6570,20211001,184,15,7,54,4923,20220613,206,17
47,2,109.395768832545,41.0514979482215,0,0,37,0,NA,0,0,0,0,0,NA,0,0
48,1,67.1050072818058,71.2625966350753,0,0,97,0,NA,0,0,0,0,0,NA,0,0
49,1,141.247402396347,70.2168882685162,0,0,84,0,NA,0,0,0,0,0,NA,0,0
50,3,149.762454023561,-25.6184080105064,7,29,25,595,20220711,13,5,0,0,0,NA,0,0
51,6,-48.6994871551866,-19.8288116813845,7,48,14,9360,20211004,83,17,0,0,0,NA,0,0
52,6,-98.5509614404107,31.3192644045073,7,47,21,26300,20220519,101,31,0,29,0,NA,33,10
53,2,121.617690292951,-23.4479285622596,0,0,52,0,NA,0,0,0,0,0,NA,0,0
54,2,147.412936101547,-27.7710410952708,0,0,94,0,NA,0,0,0,0,0,NA,0,0
55,5,47.0694728250112,43.5446810437188,0,0,84,0,NA,0,0,0,0,0,NA,0,0
56,3,10.8223170335566,11.3353093791243,0,0,56,0,NA,0,0,0,0,0,NA,0,0
57,4,42.9366350919616,9.06019504259135,0,0,22,0,NA,0,0,0,0,0,NA,0,0
